book,book_num,chapter,chapter_num,character,full_text,character_words,mention_appa,director,imdb_rating
Water,1,The Boy in the Iceberg,1,Katara,"Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.","Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"It's not getting away from me this time. [Close-up of the boy as he grins confidently over his shoulder in the direction of the girl.] Watch and learn, Katara. This is how you catch a fish.","It's not getting away from me this time.  Watch and learn, Katara. This is how you catch a fish.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Happily surprised.] Sokka, look!","Sokka, look!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Close-up of Sokka; whispering.] Sshh! Katara, you're going to scare it away. [A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.] Mmmm ... I can already smell it cookin'.","Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Struggling with the water that passes right in front of her.] But, Sokka! I caught one!","But, Sokka! I caught one!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Exclaims indignantly.] Hey!,Hey!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"Why is it that every time you play with magic water, I get soaked?","Why is it that every time you play with magic water, I get soaked?",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Cut to her face; she sighs lightly before answering in slight annoyance.] It's not ""magic"", it's waterbending! And it's ...","It's not ""magic"", it's waterbending! And it's ...",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying [Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.] that if I had weird powers, I'd keep my weirdness to myself.","Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"[Cut to her face as she raises an eyebrow skeptically, arms still crossed.] You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!",You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,Watch out! Go left! Go left!,Watch out! Go left! Go left!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[A touch of bitterness in her voice.] You call that left?,You call that left?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"You don't like my steering? Well, maybe you should've [He waves his hands, mockingly imitating waterbending.] waterbended us out of the ice.","You don't like my steering? Well, maybe you should've  waterbended us out of the ice.",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,[Indignantly.] So it's my fault?,So it's my fault?,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,[Annoyed.] I knew I should've left you home! [Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.] Leave it to a girl to screw things up!,I knew I should've left you home!  Leave it to a girl to screw things up!,FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"You are the most sexist, [She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.] immature, [Hands raised back to her head.] nut brained ... [Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.] I'm embarrassed [Throwing a hand upward, a short jet of water shoots upward as well.] to be related to you!","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Katara,"Ever since mom died, [Points to herself.] I've been doing all the work around camp while you've been off playing soldier!","Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!",FALSE,Dave Filoni,8.1
Water,1,The Boy in the Iceberg,1,Sokka,"[Pointing to the iceberg behind her, his voice subdued by fright.] Uh ... Katara ...",Uh ... Katara ...,FALSE,Dave Filoni,8.1
