show,Hamilton,week_ending,weekly_gross_overall,avg_ticket_price,top_ticket_price,seats_sold,pct_capacity
La Cage aux Folles,No,1985-07-28,2989271,34.54,NA,11841,0.8795
42nd Street,No,1985-09-08,2474396,30.31,NA,7251,0.5477
42nd Street,No,1985-09-15,2844860,30.5,NA,7890,0.5959
La Cage aux Folles,No,1985-12-15,4169643,35,NA,10846,0.8056
The Odd Couple,No,1986-01-26,3555363,27.74,NA,2803,0.2967
Loot,No,1986-04-06,3632735,16.6,NA,2204,0.4364
Arsenic and Old Lace,No,1986-06-29,3900725,17.19,NA,5740,0.584
The Mystery of Edwin Drood,No,1986-07-13,3486170,32.12,NA,10861,0.9527
Arsenic and Old Lace,No,1986-07-20,3716807,15.38,NA,9592,0.854
I'm Not Rappaport,No,1986-09-14,3762479,26.41,NA,6011,0.9596
Social Security,No,1987-01-04,4843514,27.49,NA,4394,0.5048
The Front Page,No,1987-01-11,3372851,9.23,NA,6000,0.6769
I'm Not Rappaport,No,1987-02-01,2641531,25.63,NA,3999,0.6384
Jackie Mason's The World According to Me!,No,1987-02-22,3412369,21.58,NA,6914,0.9214
Les Miserables,No,1987-03-29,4687880,35.43,NA,14033,1.0012
The Mikado,No,1987-04-05,4530629,19.62,NA,5430,0.5637
Stardust,No,1987-04-19,5483530,16.01,NA,3615,0.5077
The Musical Comedy Murders of 1940,No,1987-04-19,5483530,15.11,NA,5375,0.613
42nd Street,No,1987-05-03,5127230,29.69,NA,8871,0.7005
Cats,No,1987-05-10,4914884,38.11,NA,12019,1.0137
The Comedy of Errors,No,1987-07-26,4389338,18.78,NA,4295,0.4939
Big River,No,1987-08-16,4578666,29.27,NA,6257,0.7683
Me and My Girl,No,1987-11-22,4930680,39.87,NA,12241,0.9746
Coastal Disturbances,No,1987-11-22,4930680,16.83,NA,1788,0.37
Jackie Mason's The World According to Me!,No,1987-12-27,5187489,23.87,NA,7721,1.0289
Cabaret,No,1988-01-17,4728239,36.34,NA,8271,0.7255
The Phantom of the Opera,No,1988-01-31,4459187,38.55,NA,12075,0.9381
Breaking the Code,No,1988-03-06,4347058,27.42,NA,5292,0.4959
Breaking the Code,No,1988-04-10,5721093,22.92,NA,9445,0.885
Les Miserables,No,1988-10-09,4793418,40.6,NA,12264,1
Ain't Misbehavin',No,1988-11-13,5361096,34.62,NA,7292,0.8227
Jackie Mason's The World According to Me!,No,1988-11-13,5361096,24.77,NA,4278,0.7981
Me and My Girl,No,1988-12-18,4879414,38.1,NA,10579,0.8423
