total_cup_points,species,owner,country_of_origin,farm_name,mill,company,altitude,region,producer,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
90.58,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,METAD Agricultural Development plc,2014,"April 4th, 2015",NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,Green,0,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
89.92,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,Green,1,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
89.75,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",NA,NA,1600 - 1800 m,NA,NA,Specialty Coffee Association,NA,"May 31st, 2010",Bourbon,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,0,NA,0,"May 31st, 2011",Specialty Coffee Association,m,1600,1800,1700
89,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,wolensu,yidnekachew debessa coffee plantation,1800-2200,oromia,Yidnekachew Dabessa Coffee Plantation,METAD Agricultural Development plc,2014,"March 26th, 2015",NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,Green,2,"March 25th, 2016",METAD Agricultural Development plc,m,1800,2200,2000
88.83,Arabica,metad plc,Ethiopia,metad plc,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,Green,2,"April 3rd, 2016",METAD Agricultural Development plc,m,1950,2200,2075
88.83,Arabica,ji-ae ahn,Brazil,NA,NA,NA,NA,NA,NA,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,Bluish-Green,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,NA,NA,NA
88.75,Arabica,hugo valdivia,Peru,NA,hvc,richmond investment-coffee department,NA,NA,HVC,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,Bluish-Green,0,"September 17th, 2013",Specialty Coffee Institute of Asia,m,NA,NA,NA
88.67,Arabica,ethiopia commodity exchange,Ethiopia,aolme,c.p.w.e,NA,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,Mar-10,"September 2nd, 2010",NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,0,NA,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570,1700,1635
88.42,Arabica,ethiopia commodity exchange,Ethiopia,aolme,c.p.w.e,NA,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,Mar-10,"September 2nd, 2010",NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,0,NA,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570,1700,1635
88.25,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,tulla coffee farm,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,METAD Agricultural Development plc,2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,Green,4,"March 29th, 2016",METAD Agricultural Development plc,m,1795,1850,1822.5
