,id,duration,n_bids,cond,start_pr,ship_pr,total_pr,ship_sp,seller_rating,stock_photo,wheels,title
1,1.50377E+11,3,20,new,0.99,4,51.55,standard,1580,yes,1,~~ Wii MARIO KART &amp; WHEEL ~ NINTENDO Wii ~ BRAND NEW ~~
2,2.60483E+11,7,13,used,0.99,3.99,37.04,firstClass,365,yes,1,Mariokart Wii Nintendo with wheel - Mario Kart Nintendo
3,3.20432E+11,3,16,new,0.99,3.5,45.5,firstClass,998,no,1,Mario Kart Wii (Wii)
4,2.80405E+11,3,18,new,0.99,0,44,standard,7,yes,1,Brand New Mario Kart Wii Comes with Wheel. Free Ship
5,1.70392E+11,1,20,new,0.01,0,71,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
6,3.60195E+11,3,19,new,0.99,4,45,standard,270144,yes,0,Mario Kart Wii (GAME ONLY/NO WHEEL) - Nintendo Wii Game
7,1.20478E+11,1,13,used,0.01,0,37.02,standard,7284,yes,0,Mario Kart Wii (Wii) Nintendo Wii game *--WOW --AWESOME
8,3.00356E+11,1,15,new,1,2.99,53.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
9,2.00392E+11,3,29,used,0.99,4,47,priority,27,yes,1,Wii game Mario Kart in box with 1 wheel Fast Shipping
10,3.30364E+11,7,8,used,19.99,4,50,firstClass,201,no,1,"Nintendo Wii : Mario Kart Wii w/ Wii Wheel (2008, MINT)"
11,2.90356E+11,1,15,new,1,2.99,54.99,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
12,1.80415E+11,1,15,new,0.01,0,56.01,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
13,3.00353E+11,1,13,new,1,2.99,48,upsGround,4858,yes,2,BRAND NEW NINTENDO MARIO KART WITH 2 WHEELS
14,1.80415E+11,1,16,new,0.01,0,56,media,820,yes,2,BRAND NEW NINTENDO 1 WII MARIO KART WITH 2 WHEELS +GAME
15,2.50505E+11,7,6,used,24.99,4,43.33,standard,154,yes,1,Mario Kart Wii (Wii) w/ Wii Wheel
16,1.20475E+11,7,22,used,0.99,4,46,media,309,yes,0,Mario Kart Wii (Wii) - GAME ONLY
17,1.4035E+11,3,14,new,0.99,8.7,46.71,priority,251,yes,1,"Wii Mario Kart game + wheel:  NIB, factory sealed"
