"","Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"1","Lamusi A","People's Republic of China",23,1.7,60,"M",1989-02-06,"NEIMONGGOL (CHN)",0,0,0,0,"Judo","Men's -60kg"
"2","A G Kruger","United States of America",33,1.93,125,"M",NA,"Sheldon (USA)",0,0,0,0,"Athletics","Men's Hammer Throw"
"3","Jamale Aarrass","France",30,1.87,76,"M",NA,"BEZONS (FRA)",0,0,0,0,"Athletics","Men's 1500m"
"4","Abdelhak Aatakni","Morocco",24,NA,NA,"M",1988-09-02,"AIN SEBAA (MAR)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"5","Maria Abakumova","Russian Federation",26,1.78,85,"F",NA,"STAVROPOL REGION (RUS)",0,0,0,0,"Athletics","Women's Javelin Throw"
"6","Luc Abalo","France",27,1.82,80,"M",1984-06-09,"",0,0,0,0,"Handball","Men's Handball"
"7","Maria Laura Abalo","Argentina",30,1.82,73,"F",NA,"",0,0,0,0,"Rowing","Women's Pair"
"8","Mohamed Abarhoun","Morocco",23,1.87,75,"M",1989-03-05,"",0,0,0,0,"Football","Men's Football"
"9","Emanuele Abate","Italy",27,1.9,80,"M",1985-08-07,"Genova (ITA)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"10","Ilyas Abbadi","Algeria",19,1.7,NA,"M",NA,"MEDEA (ALG)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"11","Sohail Abbas","Pakistan",37,NA,NA,"M",1975-09-06,"",0,0,0,0,"Hockey","Men's Hockey"
"12","Shakeel Abbasi","Pakistan",28,NA,NA,"M",1984-05-01,"",0,0,0,0,"Hockey","Men's Hockey"
"13","Soulmaz Abbasiazad","Islamic Republic of Iran",28,1.73,60,"F",NA,"",0,0,0,0,"Rowing","Women's Single Sculls"
"14","Simona Abbate","Italy",28,1.71,64,"F",NA,"FONDI (ITA)",0,0,0,0,"Water Polo","Women's Water Polo"
"15","Ahmed Abd Elgaber","Egypt",22,1.71,62,"M",NA,"",0,0,0,0,"Football","Men's Football"
"16","Reem Abdalazem","Egypt",19,1.67,NA,"F",NA,"GIZA (EGY)",0,0,0,0,"Synchronised Swimming","Women's Teams"
"17","Mohamed Fawzi Abdalla","United Arab Emirates",22,1.75,63,"M",NA,"",0,0,0,0,"Football","Men's Football"
"18","Mohamed Abdel Baki","Egypt",25,1.62,69,"M",NA,"FAYOUM",0,0,0,0,"Weightlifting","Men's 69kg"
"19","Hesham Abdelaal","Egypt",18,1.67,NA,"M",1993-05-09,"ELDAKAHLIA (EGY)",0,0,0,0,"Boxing","Men's Fly (52kg)"
"20","Tarek Abdelazim","Egypt",25,1.75,85,"M",NA,"ELMENIA",0,0,0,0,"Weightlifting","Men's 85kg"
"21","Shaza Abdelrahman","Egypt",19,1.7,NA,"F",NA,"Cairo (EGY)",0,0,0,0,"Synchronised Swimming","Women's Duets, Women's Teams"
"22","Mouni Abderrahim","Algeria",26,1.71,60,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"23","Youcef Abdi","Australia",34,1.77,66,"M",1977-07-12,"AZAZGA (ALG)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"24","Abdihakem Abdirahman","United States of America",35,1.8,61,"M",1977-01-01,"HARGISA (SOM)",0,0,0,0,"Athletics","Men's Marathon"
"25","Moustapha Abdoulaye Hima","Niger",20,1.83,NA,"M",1992-01-01,"",0,0,0,0,"Boxing","Men's Welter (69kg)"
"26","Dana Abdul Razak","Iraq",26,1.65,55,"F",1986-03-01,"BAGHDAD (IRQ)",0,0,0,0,"Athletics","Women's 100m"
"27","Magomed Abdulhamidov","Azerbaijan",25,1.67,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"28","Muminjon Abdullaev","Uzbekistan",22,NA,NA,"M",NA,"SAMARKAND REGION (UZB)",0,0,0,0,"Wrestling","Men's 120kg Greco-Roman"
"29","Layes Abdullayeva","Azerbaijan",21,1.7,47,"F",NA,"Addis Ababa (ETH)",0,0,0,0,"Athletics","Women's 5000m"
"30","Rasul Abduraim","Kyrgyzstan",23,1.8,NA,"M",1988-12-12,"Bishkek (KGZ)",0,0,0,0,"Taekwondo","Men's -80kg"
"31","Yusup Abdusalomov","Tajikistan",34,1.73,84,"M",1977-08-11,"MAKHACHKALA (RUS)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"32","Saeid Morad Abdvali","Islamic Republic of Iran",22,1.7,66,"M",1989-04-11,"ANDIMESHK (IRI)",0,0,0,0,"Wrestling","Men's 66kg Greco-Roman"
"33","Mojtaba Abedini","Islamic Republic of Iran",27,1.79,82,"M",1984-11-08,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"34","Jennifer Abel","Canada",20,1.6,62,"F",NA,"Montreal (CAN)",0,0,1,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard"
"35","Yaritza Abel Rojas","Cuba",28,NA,62,"F",NA,"Santiago de Cuba",0,0,0,0,"Judo","Women's -63kg"
"36","Pablo Abian","Spain",27,1.77,78,"M",1985-12-06,"CALATAYUD",0,0,0,0,"Badminton","Men's Singles"
"37","Tomomi Abiko","Japan",24,1.73,53,"F",NA,"KUSATSU (JPN)",0,0,0,0,"Athletics","Women's Pole Vault"
"38","Camille Abily","France",27,1.68,60,"F",1984-05-12,"",0,0,0,0,"Football","Women's Football"
"39","Endurance Abinuwa","Nigeria",25,1.59,54,"F",NA,"Sapele (NGR)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"40","Khalil Mahmoud K Abir Abdelrahman","Egypt",20,1.62,75,"F",NA,"Alexandria",0,0,0,0,"Weightlifting","Women's 75kg"
"41","Denis Ablyazin","Russian Federation",20,1.61,NA,"M",1992-03-08,"Penza (RUS)",0,0,0,0,"Gymnastics - Artistic","Men's Team, Men's Qualification"
"42","Bukola Abogunloko","Nigeria",17,1.7,53,"F",NA,"IJERO",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"43","Aminata Aboubakar Yacoub","Congo",23,1.66,68,"F",NA,"EPENA (CGO)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"44","Rabah Aboud","Algeria",31,1.8,64,"M",1981-01-01,"TISSEMSILT (ALG)",0,0,0,0,"Athletics","Men's 5000m"
"45","Gabrielle Aboudi Onguene","Cameroon",23,1.52,58,"F",NA,"",0,0,0,0,"Football","Women's Football"
"46","Alaaeldin Abouelkassem","Egypt",21,1.88,82,"M",NA,"",0,1,0,1,"Fencing","Men's Individual Foil, Men's Team Foil"
"47","Abouhalima Abouhalima","Egypt",18,1.53,55,"M",NA,"ALEX (EGY)",0,0,0,0,"Wrestling","Men's 55kg Greco-Roman"
"48","Mohamed Aboutrika","Egypt",33,1.82,77,"M",1978-07-11,"",0,0,0,0,"Football","Men's Football"
"49","Arnaldo Abrantes","Portugal",25,1.84,78,"M",NA,"ALMADA (POR)",0,0,0,0,"Athletics","Men's 200m"
"50","Amir Abrashi","Switzerland",22,1.72,70,"M",NA,"",0,0,0,0,"Football","Men's Football"
"51","Erika Abril","Colombia",34,1.58,47,"F",NA,"SAN JOSE DE PARE (COL)",0,0,0,0,"Athletics","Women's Marathon"
"52","Laura Valentina Abril Restrepo","Colombia",22,1.62,50,"F",NA,"LA CUMBRE (COL)",0,0,0,0,"Cycling - Mountain Bike","Women's Cross-country"
