Country,ISO,GDP.2011,pop.2010,athletes_f,athletes_m,athletes_total,gold,silver,bronze
Afghanistan,AFG,"20,343,461,030.00","34,385,000",1,5,6,0,0,1
Albania,ALB,"12,959,563,902.00","3,205,000",4,7,11,0,0,0
Algeria,DZA,"188,681,000,000.00","35,468,000",18,21,39,1,0,0
American Samoa,ASM,"537,000,000.00","68,420",1,4,5,0,0,0
Andorra,AND,"3,491,000,000.00","84,864",2,4,6,0,0,0
Angola,AGO,"100,990,000,000.00","19,082,000",30,5,35,0,0,0
Antigua and Barbuda,ATG,"1,128,708,617.00","88,000",2,3,5,0,0,0
Argentina,ARG,"445,989,000,000.00","40,412,000",43,99,142,1,1,2
Armenia,ARM,"10,247,788,877.00","3,092,000",4,21,25,0,1,2
Aruba,ABW,"2,456,000,000.00","108,000",1,3,4,0,0,0
Australia,AUS,"1,371,760,000,000.00","22,299,000",188,225,413,7,16,12
Austria,AUT,"418,484,000,000.00","8,390,000",31,39,70,0,0,0
Azerbaijan,AZE,"63,403,650,746.00","9,054,000",14,39,53,2,2,6
Bahamas,BHS,"7,787,514,000.00","343,000",11,15,26,1,0,0
Bahrain,BHR,"22,945,000,000.00","1,262,000",8,4,12,0,0,1
Bangladesh,BGD,"110,612,000,000.00","148,692,000",1,4,5,0,0,0
Barbados,BRB,"3,685,000,000.00","274,000",,6,6,0,0,0
Belarus,BLR,"55,136,144,037.00","9,490,000",77,95,172,2,5,5
Belgium,BEL,"511,533,000,000.00","10,896,000",44,74,118,0,1,2
Belize,BLZ,"1,474,000,000.00","345,000",1,2,3,0,0,0
Benin,BEN,"7,294,865,847.00","8,850,000",1,4,5,0,0,0
Bermuda,BMU,"6,015,000,000.00","64,600",3,5,8,0,0,0
Bhutan,BTN,"1,688,939,892.00","726,000",2,0,2,0,0,0
Bolivia,BOL,"24,426,829,466.00","9,929,000",2,3,5,0,0,0
Bosnia and Herzegovina,BIH,"18,088,238,053.00","3,760,000",2,4,6,0,0,0
Botswana,BWA,"17,627,441,191.00","2,007,000",1,3,4,0,1,0
Brazil,BRA,"2,476,650,000,000.00","194,946,000",128,138,266,3,5,9
British Virgin Islands,VGB,"909,000,000.00","88,000",1,1,2,0,0,0
Brunei,BRN,"13,024,000,000.00","399,000",1,2,3,0,0,0
Bulgaria,BGR,"53,514,098,360.00","7,534,000",26,37,63,0,1,1
Burkina Faso,BFA,"10,187,211,704.00","16,468,000",3,2,5,0,0,0
Burma,MMR,"50,200,000,000.00","47,963,000",3,3,6,0,0,0
Burundi,BDI,"2,325,972,144.00","8,382,000",4,2,6,0,0,0
Cambodia,KHM,"12,875,310,959.00","14,139,000",3,3,6,0,0,0
Cameroon,CMR,"25,464,850,391.00","19,599,000",27,10,37,0,0,0
Canada,CAN,"1,736,050,000,000.00","34,126,000",158,121,279,1,5,12
Cape Verde,CPV,"1,901,136,230.00","496,000",2,1,3,0,0,0
Cayman Islands,CYM,"3,208,000,000.00","56,230",1,4,5,0,0,0
Central African Republic,CAF,"2,165,868,600.00","4,401,000",3,3,6,0,0,0
Chad,TCD,"9,485,741,541.00","11,227,000",2,1,3,0,0,0
Chile,CHL,"248,585,000,000.00","17,113,688",14,21,35,0,0,0
China,CHN,"7,298,100,000,000.00","1,338,300,000",208,163,371,38,27,23
Colombia,COL,"331,655,000,000.00","46,295,000",63,46,109,1,3,4
Comoros,COM,"610,114,091.70","735,000",2,1,3,0,0,0
Congo-Brazzaville,COG,"14,748,024,198.00","4,043,000",3,4,7,0,0,0
Cook Islands,COK,"248,000,000.00","20,000",5,3,8,0,0,0
Costa Rica,CRI,"41,006,959,585.00","4,659,000",3,8,11,0,0,0
Croatia,HRV,"63,850,068,202.00","4,418,000",45,65,110,3,1,2
Cuba,CUB,"64,100,000,000.00","11,258,000",45,65,110,5,3,6
Cyprus,CYP,"24,689,602,446.00","659,350",4,9,13,0,1,0
Czech Republic,CZE,"215,215,000,000.00","10,520,000",65,68,133,4,3,3
Democratic Republic of Congo,COD,"15,642,236,881.00","65,965,000",1,3,4,0,0,0
Denmark,DNK,"332,677,000,000.00","5,547,000",50,65,115,2,4,3
Djibouti,DJI,"1,140,000,000.00","889,000",3,3,6,0,0,0
Dominica,DMA,"482,277,143.10","68,000",1,1,2,0,0,0
Dominican Republic,DOM,"55,611,245,616.00","9,927,000",20,15,35,1,1,0
East Timor,TLS,"1,054,000,000.00","1,124,000",1,1,2,0,0,0
Ecuador,ECU,"67,002,768,302.00","14,465,000",13,23,36,0,0,0
Egypt,EGY,"229,531,000,000.00","81,121,000",35,81,116,0,2,0
El Salvador,SLV,"23,054,100,000.00","6,193,000",5,5,10,0,0,0
Equatorial Guinea,GNQ,"19,789,801,404.00","700,000",1,1,2,0,0,0
Eritrea,ERI,"2,608,715,447.00","5,254,000",1,11,12,0,0,0
Estonia,EST,"22,184,722,472.00","1,340,000",9,24,33,0,1,1
Ethiopia,ETH,"31,708,848,033.00","82,950,000",17,18,35,3,1,3
Fiji,FJI,"3,812,749,216.00","860,000",3,6,9,0,0,0
Finland,FIN,"266,071,000,000.00","5,364,000",28,28,56,0,1,2
France,FRA,"2,773,030,000,000.00","64,895,000",148,187,335,11,11,12
Gabon,GAB,"17,051,616,749.00","1,505,000",2,26,28,0,1,0
Gambia,GMB,"1,109,306,596.00","1,729,000",1,1,2,0,0,0
Georgia,GEO,"14,366,566,609.00","4,452,000",6,29,35,1,3,3
Germany,DEU,"3,570,560,000,000.00","81,777,000",176,219,395,11,19,14
Ghana,GHA,"39,199,656,051.00","24,392,000",3,6,9,0,0,0
Greece,GRC,"298,734,000,000.00","11,316,000",39,66,105,0,0,2
Grenada,GRD,"816,054,092.20","104,000",4,6,10,1,0,0
Guam,GUM,"2,773,000,000.00","179,000",3,5,8,0,0,0
Guatemala,GTM,"46,900,000,257.00","14,389,000",7,12,19,0,1,0
Guinea,GIN,"5,131,221,608.00","9,982,000",1,2,3,0,0,0
Guinea-Bissau,GNB,"973,427,456.50","1,515,000",2,2,4,0,0,0
Guyana,GUY,"2,260,000,000.00","755,000",2,4,6,0,0,0
Haiti,HTI,"7,346,156,703.00","9,993,000",2,3,5,0,0,0
Honduras,HND,"17,259,407,972.00","7,600,000",3,28,31,0,0,0
Hong Kong,HKG,"243,666,000,000.00","7,068,000",20,22,42,0,0,1
Hungary,HUN,"140,029,000,000.00","10,000,000",63,95,158,8,4,5
Iceland,ISL,"14,059,073,613.00","318,000",6,22,28,0,0,0
