Name,Survived,Boarded,Class,MWC,Age,Adut_or_Chld,Sex,Paid,Ticket_No,Boat_or_Body,Job,Class_Dept,Class_Full
"ABBING, Mr Anthony",Dead,Southampton,3,Man,42,Adult,Male,7.55,5547,,Blacksmith,3rd Class Passenger,3
"ABBOTT, Mr Ernest Owen",Dead,Southampton,Crew,Man,21,Adult,Male,,,,Lounge Pantry Steward,Victualling Crew,V
"ABBOTT, Mr Eugene Joseph",Dead,Southampton,3,Child,14,Child,Male,20.25,CA2673,,Scholar,3rd Class Passenger,3
"ABBOTT, Mr Rossmore Edward",Dead,Southampton,3,Man,16,Adult,Male,20.25,CA2673,[190],Jeweller,3rd Class Passenger,3
"ABBOTT, Mrs Rhoda Mary 'Rosa'",Alive,Southampton,3,Woman,39,Adult,Female,20.25,CA2673,A,,3rd Class Passenger,3
"ABELSETH, Miss Karen Marie",Alive,Southampton,3,Woman,16,Adult,Female,7.65,348125,16,,3rd Class Passenger,3
"ABELSETH, Mr Olaus Jrgensen",Alive,Southampton,3,Man,25,Adult,Male,7.65,348122,A,Farmer,3rd Class Passenger,3
"ABELSON, Mr Samuel",Dead,Cherbourg,2,Man,30,Adult,Male,24,3381,,,2nd Class Passenger,2
"ABELSON, Mrs Hannah",Alive,Cherbourg,2,Woman,28,Adult,Female,24,3381,10,,2nd Class Passenger,2
"ABRAHAMSSON, Mr Abraham August Johannes",Alive,Southampton,3,Man,20,Adult,Male,7.925,3101284,15,,3rd Class Passenger,3
"ABRAHIM, Mrs Mary Sophie Halaut",Alive,Cherbourg,3,Woman,18,Adult,Female,7.22916667,2657,C,,3rd Class Passenger,3
"ABRAMS, Mr William Thomas",Dead,Southampton,Crew,Man,33,Adult,Male,,,,Fireman,Engineering Crew,E
"DAHL, Mr Mauritz Nils Martin",Dead,Southampton,3,Man,30,Adult,Male,7.25,7076,[72],General Labourer,3rd Class Passenger,3
"ADAMS, Mr John",Dead,Southampton,3,Man,26,Adult,Male,8.05,341826,[103],,3rd Class Passenger,3
"ADAMS, Mr Robert John",Dead,Southampton,Crew,Man,26,Adult,Male,,,,Fireman,Engineering Crew,E
"AHIER, Mr Percy Snowden",Dead,Southampton,Crew,Man,20,Adult,Male,,,,Saloon Steward,Victualling Crew,V
"AHLIN, Mrs Johanna Persdotter",Dead,Southampton,3,Woman,40,Adult,Female,9.475,7546,,,3rd Class Passenger,3
"AKERMAN, Mr Albert Edward",Dead,Southampton,Crew,Man,31,Adult,Male,,,,3rd Class Steward,Victualling Crew,V
"AKERMAN, Mr Joseph Francis",Dead,Southampton,Crew,Man,35,Adult,Male,,,[205],Assistant Pantryman Steward,Victualling Crew,V
"AKS, Master Frank Philip",Alive,Southampton,3,Child,0.83,Child,Male,9.35,392091,11,,3rd Class Passenger,3
"AKS, Mrs Leah",Alive,Southampton,3,Woman,18,Adult,Female,9.35,392091,13,,3rd Class Passenger,3
"ALBIMONA, Mr Nassef Cassem",Alive,Cherbourg,3,Man,26,Adult,Male,18.7875,2699,15,,3rd Class Passenger,3
"ALDWORTH, Mr Augustus Henry",Dead,Southampton,2,Man,34,Adult,Male,13,,,Chauffeur,,2
"ALEXANDER, Mr William",Dead,Southampton,3,Man,23,Adult,Male,7.8875,3474,,General Labourer,3rd Class Passenger,3
"ALHOM_KI, Mr Ilmari Rudolf",Dead,Southampton,3,Man,19,Adult,Male,7.925,3101287,,General Labourer,3rd Class Passenger,3
